Year-Month,Date,Values
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,1378.97
2022-03,29.03.2022,1378.97
2022-03,29.03.2022,1378.97
2022-03,29.03.2022,1378.97
2022-03,29.03.2022,1378.97
2022-03,29.03.2022,1378.97
2022-03,29.03.2022,1378.97
2022-03,29.03.2022,1378.97
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,2646.25
2022-03,29.03.2022,1378.97
2022-03,30.03.2022,1378.97
2022-03,30.03.2022,1378.97
2022-03,30.03.2022,1378.97
2022-03,30.03.2022,1378.97
2022-03,30.03.2022,1378.97
2022-03,30.03.2022,1378.97
2022-03,30.03.2022,1378.97
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,2646.25
2022-03,30.03.2022,1378.97
2022-03,31.03.2022,1378.97
2022-03,31.03.2022,1378.97
2022-03,31.03.2022,1378.97
2022-03,31.03.2022,1378.97
2022-03,31.03.2022,1378.97
2022-03,31.03.2022,1378.97
2022-03,31.03.2022,1378.97
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,2646.25
2022-03,31.03.2022,1378.97
2022-04,01.04.2022,1378.97
2022-04,01.04.2022,1378.97
2022-04,01.04.2022,1378.97
2022-04,01.04.2022,1378.97
2022-04,01.04.2022,1378.97
2022-04,01.04.2022,1378.97
2022-04,01.04.2022,1378.97
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,2646.25
2022-04,01.04.2022,1378.97
2022-04,02.04.2022,1378.97
2022-04,02.04.2022,1378.97
2022-04,02.04.2022,1378.97
2022-04,02.04.2022,1378.97
2022-04,02.04.2022,1378.97
2022-04,02.04.2022,1378.97
2022-04,02.04.2022,1378.97
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
2022-04,02.04.2022,2646.25
